Validator,PT_VERSION,2.11.0
Validator,HIP_VERSION,702
Validator,HIPBLASLT_VERSION,100201-5b515cf1bc
Validator,GCN_ARCH_NAME,gfx1100
Validator,ROCBLAS_VERSION,5.2.0.5b515cf1bc
GemmTunableOp_float_TN,tn_768_36_128_ld_128_128_768,Gemm_Rocblas_-1140855908,0.0190437
GemmTunableOp_float_TN,tn_768_36_768_ld_768_768_768,Gemm_Rocblas_-1140855728,0.0632673
GemmTunableOp_float_TN,tn_2048_36_768_ld_768_768_2048,Gemm_Rocblas_-1140855706,0.106563
GemmTunableOp_float_TN,tn_768_36_2048_ld_2048_2048_768,Gemm_Rocblas_-1140855791,0.13805
GemmTunableOp_float_TN,tn_768_1_768_ld_768_27648_768,Gemm_Rocblas_-1140855869,0.0371861
GemmTunableOp_float_TN,tn_512_36_768_ld_768_768_512,Gemm_Rocblas_-1140855912,0.0432047
GemmTunableOp_float_TN,tn_1024_1_128_ld_128_256_1024,Gemm_Rocblas_-1140855872,0.0142107
GemmTunableOp_float_TN,tn_50_36_512_ld_512_512_50,Gemm_Rocblas_-1140855865,0.0170107
GemmTunableOp_float_NN,nn_96_640_36_ld_96_36_96,Gemm_Rocblas_-1140853674,0.0128858
GemmTunableOp_float_TN,tn_512_1_128_ld_128_256_512,Gemm_Rocblas_-1140855873,0.0113758
GemmTunableOp_float_NN,nn_96_512_36_ld_96_36_96,Gemm_Rocblas_-1140853956,0.0117265
GemmTunableOp_float_TN,tn_1028_1_128_ld_128_256_1028,Gemm_Rocblas_-1140855872,0.0139386
GemmTunableOp_float_TN,tn_2048_1_128_ld_128_256_2048,Gemm_Rocblas_-1140855872,0.0206467
GemmTunableOp_float_TN,tn_2180_1_128_ld_128_256_2180,Gemm_Rocblas_-1140855869,0.0214502
GemmTunableOp_float_NT,nt_1_57600_9_ld_1_57600_1,Default,0.0346638
GemmTunableOp_float_TN,tn_256_1_128_ld_128_256_256,Gemm_Rocblas_-1140855933,0.0101675
GemmTunableOp_float_TN,tn_768_216_128_ld_128_128_768,Gemm_Rocblas_-1140855718,0.0414215
GemmTunableOp_float_TN,tn_768_216_768_ld_768_768_768,Gemm_Rocblas_-1140855677,0.135101
GemmTunableOp_float_TN,tn_2048_216_768_ld_768_768_2048,Gemm_Rocblas_-1140855677,0.257694
GemmTunableOp_float_TN,tn_768_216_2048_ld_2048_2048_768,Gemm_Rocblas_-1140855676,0.303824
GemmTunableOp_float_TN,tn_768_1_768_ld_768_165888_768,Gemm_Rocblas_-9,0.0364473
GemmTunableOp_float_TN,tn_512_216_768_ld_768_768_512,Gemm_Rocblas_-1140855729,0.0957435
GemmTunableOp_float_TN,tn_50_216_512_ld_512_512_50,Gemm_Rocblas_-1140855902,0.0234541
